breed_name,akc_group,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,size_category,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,hypoallergenic,coat_type,image_url_1,image_url_2,origin_country,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,working_dog,llm_summary
Affenpinscher,Toy Group,148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,small,3.0,4.0,3.0,3.0,5.0,0,wire,https://cdn2.thedogapi.com/images/RX0knn4z4.jpg,https://cdn2.thedogapi.com/images/lGy5M4Ps2.jpg,Germany,3,40,45,1,90,4,4,4,4,3,3,3,1,0,0,0,1,0,3,3,1,0,2,1,0,"Affenpinschers are confident, fearless toy dogs with a monkey-like appearance and charming personality. They are intelligent and independent, requiring an owner who can befriend rather than simply train them. Best suited for experienced owners who appreciate their spirited, mischievous nature."
Afghan Hound,Hound Group,113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,large,4.0,2.0,2.0,4.0,2.0,0,long,https://cdn2.thedogapi.com/images/12nMI642l.jpg,https://cdn2.thedogapi.com/images/4WiUpv_4W.jpg,Afghanistan,3,60,55,2,120,3,4,4,5,2,2,2,0,0,0,0,0,1,2,3,0,0,3,0,0,"Afghan Hounds are elegant, ancient breeds with a dignified, aloof temperament and strong independent streak. They require significant daily exercise, a large fenced yard, and extensive grooming. Only suited for experienced owners who can handle their athleticism and independent nature."
Airedale Terrier,Terrier Group,60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,large,3.0,5.0,3.0,3.0,4.0,0,wire,https://cdn2.thedogapi.com/images/QWRBrrIvB.jpg,https://cdn2.thedogapi.com/images/lNnWNU4qU.jpg,"Yorkshire, England",3,60,65,1,130,4,4,5,3,4,4,2,1,1,0,1,0,1,3,3,0,0,2,1,0,"Airedale Terriers are the largest terrier breed, combining intelligence, friendliness, and courage with a strong prey drive and protective instinct. They require significant daily exercise and regular grooming, and can be stubborn. Suitable for experienced owners who can provide firm training and adequate physical activity."
Akita,Working Group,47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,giant,4.0,5.0,3.0,4.0,3.0,0,double,https://cdn2.thedogapi.com/images/IyR0sT3yy.jpg,https://cdn2.thedogapi.com/images/fQSunHvl8.jpg,Japan,3,60,75,2,150,2,4,4,4,1,5,2,1,0,0,1,0,1,2,5,0,0,3,1,1,"Akitas are large, dignified working dogs with strong guarding instincts and loyalty to their family. They are wary of strangers and often intolerant of other animals, requiring experienced owners and proper socialization. They need space, regular exercise, and a confident handler."
Alaskan Malamute,Working Group,58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,large,4.0,3.0,3.0,3.0,4.0,0,double,https://cdn2.thedogapi.com/images/42QrDrylc.jpg,https://cdn2.thedogapi.com/images/aREFAmi5H.jpg,"Alaska, United States",3,90,90,2,170,4,5,3,3,2,4,3,1,1,0,1,0,1,1,5,0,0,2,1,1,"Alaskan Malamutes are affectionate, loyal working dogs originally bred for arctic sled-pulling, requiring strong leadership and extensive exercise. They shed heavily and thrive in cold climates but struggle in heat. Best suited for experienced owners with space and commitment to training."
American Bulldog,Foundation Stock Service,,50.8,63.5,27.2155422,45.359237,10.0,12.0,giant,4.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/r9CSG0CWk.jpg,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,United States,1,60,70,3,140,3,4,3,3,3,5,2,1,0,0,0,0,1,4,2,0,0,3,1,0,"American Bulldogs are loyal, self-confident working dogs with strong protective instincts and powerful builds. They require experienced owners who can provide firm training, ample exercise, and manage their guarding tendencies. Health issues are common and can be expensive to treat."
American English Coonhound,Hound Group,175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,large,4.0,3.0,3.0,2.0,3.0,0,medium,https://cdn4.thedogapi.com/optimized/QZZXQl1UXs.jpg,,United States,2,90,65,1,115,3,3,3,4,4,3,2,1,1,0,0,0,1,4,2,0,1,1,0,0,"American English Coonhounds are athletic, sweet-natured hunters with excellent endurance and a strong prey drive. They require substantial daily exercise and thrive in rural settings with access to open space. They can be stubborn and vocal but are generally mellow and sociable family dogs."
American Eskimo Dog,Non-Sporting Group,122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,medium,4.0,5.0,3.0,3.0,5.0,1,double,https://cdn2.thedogapi.com/images/A3iocPBuU.jpg,https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg,United States,3,60,50,1,120,4,4,5,2,3,3,3,1,1,1,1,1,0,2,5,1,1,1,0,0,"American Eskimo Dogs are playful, intelligent, and friendly companions available in three sizes with a distinctive white coat. They are highly trainable and social, making them excellent for families and first-time owners. Regular grooming and daily exercise are essential for this active breed."
American Foxhound,Hound Group,186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,large,4.0,3.0,3.0,2.0,4.0,0,short,https://cdn2.thedogapi.com/images/p4xvDeEpW.jpg,https://cdn2.thedogapi.com/images/S14n1x9NQ_1280.jpg,United States,1,120,60,1,100,4,3,3,5,4,2,2,1,1,0,0,0,1,4,3,0,0,2,0,0,"American Foxhounds are athletic hunters with exceptional speed and endurance, bred for pack hunting. They are independent and require extensive daily exercise or they become destructive and difficult to manage. Best suited for owners with large property and experience with hunting breeds."
American Hairless Terrier,Terrier Group,136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,small,,,,,,1,short,https://cdn4.thedogapi.com/optimized/ah0OKUinZL.jpg,,United States,1,50,35,1,75,4,4,4,3,3,2,2,1,1,1,1,1,0,4,2,1,1,1,0,0,"American Hairless Terriers are energetic, alert companion dogs available in hairless and coated varieties, making them suitable for allergy sufferers. They are curious and playful with moderate exercise needs, adapting well to apartment living. Ideal for first-time owners seeking a small, friendly, low-shedding breed."
