breed_name,description,temperament,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,akc_group,dog_api_id,coat_type,origin_country,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,size_category,working_dog,image_url_1,image_url_2,hypoallergenic,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,llm_summary
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group,1,wire,Germany,3.0,4.0,3.0,3.0,5.0,small,0,https://cdn2.thedogapi.com/images/RX0knn4z4.jpg,https://cdn2.thedogapi.com/images/lGy5M4Ps2.jpg,0,3,40,45,1,90,4,4,4,4,3,3,3,1,0,0,0,1,0,3,3,1,0,2,1,"Affenpinschers are confident, fearless toy dogs with a monkey-like appearance and charming personality. They are intelligent and independent, requiring an owner who can befriend rather than simply train them. Best suited for experienced owners who appreciate their spirited, mischievous nature."
Afghan Hound,"The Afghan Hound is an ancient breed, his whole appearance one of dignity and aloofness – his eyes gazing into the distance as if in memory of ages past. An intelligent and independent mind, his whole appearance one of dignity and style. To his own he is devoted and loyal with a charming and lively personality. The Afghan Hound is an athlete capable of immense speed and requires a large fenced in yard and exercise daily.Since ancient times, Afghan Hounds have been famous for their elegant beauty. But the thick, silky, flowing coat that is the breed’s crowning glory isn’t just for show — it served as protection from the harsh climate in mountainous regions where Afghans originally earned their keep. Beneath the Afghan’s glamorous exterior is a powerful, agile hound — standing as high as 27 inches at the shoulder — built for a long day’s hunt. Their huge paw-pads acted as shock absorbers on their homeland’s punishing terrain.The Afghan Hound is a special breed for special people. A breed expert writes, “It’s not the breed for all would-be dog owners, but where the dog and owner combination is right, no animal can equal the Afghan Hound as a pet.” The Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, he is known for his profound loyalty, sensitive nature, and absolute love for those he calls his own.","Dignified, Profoundly Loyal, Aristocratic",113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,2,long,Afghanistan,4.0,2.0,2.0,4.0,2.0,large,0,https://cdn2.thedogapi.com/images/12nMI642l.jpg,https://cdn2.thedogapi.com/images/4WiUpv_4W.jpg,0,3,60,55,2,120,3,4,4,5,2,2,2,0,0,0,0,0,1,2,3,0,0,3,0,"Afghan Hounds are elegant, ancient breeds with a dignified, aloof temperament and strong independent streak. They require significant daily exercise, a large fenced yard, and extensive grooming. Only suited for experienced owners who can handle their athleticism and independent nature."
Airedale Terrier,"The Airedale Terrier is the largest of all terrier breeds. Males stand about 23 inches at the shoulder, females a little less. The dense, wiry coat is tan with black markings. Long, muscular legs give Airedales a regal lift in their bearing, and the long head—with its sporty beard and mustache, dark eyes, and neatly folded ears—conveys a keen intelligence. Airedales are the very picture of an alert and willing terrier—only bigger. And, like his smaller cousins in the terrier family, he can be bold, determined, and stubborn. Airedales are docile and patient with kids but won’t back down when protecting hearth and home. Thanks to their famous do-it-all attitude, Airedales excel in all kinds of sports and family activities. His size, strength, and unflagging spirit have earned the Airedale Terrier the nickname “The King of Terriers.” The Airedale stands among the world’s most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.","Friendly, Clever, Courageous",60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,Terrier Group,4,wire,"Yorkshire, England",3.0,5.0,3.0,3.0,4.0,large,0,https://cdn2.thedogapi.com/images/QWRBrrIvB.jpg,https://cdn2.thedogapi.com/images/lNnWNU4qU.jpg,0,3,60,65,1,130,4,4,5,3,4,4,2,1,1,0,1,0,1,3,3,0,0,2,1,"Airedale Terriers are the largest terrier breed, combining intelligence, friendliness, and courage with a strong prey drive and protective instinct. They require significant daily exercise and regular grooming, and can be stubborn. Suitable for experienced owners who can provide firm training and adequate physical activity."
Akita,"Akitas are burly, heavy-boned spitz-type dogs of imposing stature. Standing 24 to 28 inches at the shoulder, Akitas have a dense coat that comes in several colors, including white. The head is broad and massive, and is balanced in the rear by a full, curled-over tail. The erect ears and dark, shining eyes contribute to an expression of alertness, a hallmark of the breed.Akitas are quiet, fastidious dogs. Wary of strangers and often intolerant of other animals, Akitas will gladly share their silly, affectionate side with family and friends. They thrive on human companionship. The large, independent-thinking Akita is hardwired for protecting those they love. They must be well socialized from birth with people and other dogs. Akitas are muscular, double-coated dogs of ancient Japanese lineage famous for their dignity, courage, and loyalty. In their native land, they are venerated as family protectors and symbols of good health, happiness, and long life.","Courageous, Dignified, Profoundly Loyal",47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,Working Group,6,double,Japan,4.0,5.0,3.0,4.0,3.0,giant,1,https://cdn2.thedogapi.com/images/IyR0sT3yy.jpg,https://cdn2.thedogapi.com/images/fQSunHvl8.jpg,0,3,60,75,2,150,2,4,4,4,1,5,2,1,0,0,1,0,1,2,5,0,0,3,1,"Akitas are large, dignified working dogs with strong guarding instincts and loyalty to their family. They are wary of strangers and often intolerant of other animals, requiring experienced owners and proper socialization. They need space, regular exercise, and a confident handler."
Alaskan Malamute,"The Alaskan Malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds. Everything about Mals suggests their origin as an arctic sled dog: The heavy bone, deep chest, powerful shoulders, and dense, weatherproof coat all scream, “I work hard for a living!” But their almond-shaped brown eyes have an affectionate sparkle, suggesting Mals enjoy snuggling with their humans when the workday is done. Mals are pack animals. And in your family “pack,” the leader must be you. If a Mal doesn’t respect you, he will wind up owning you instead of the other way around. Firm but loving training should begin in early puppyhood. That said, a well-behaved Mal is a joy to be with—playful, gentle, friendly, and great with kids. An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.","Affectionate, Loyal, Playful",58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,9,double,"Alaska, United States",4.0,3.0,3.0,3.0,4.0,large,1,https://cdn2.thedogapi.com/images/42QrDrylc.jpg,https://cdn2.thedogapi.com/images/aREFAmi5H.jpg,0,3,90,90,2,170,4,5,3,3,2,4,3,1,1,0,1,0,1,1,5,0,0,2,1,"Alaskan Malamutes are affectionate, loyal working dogs originally bred for arctic sled-pulling, requiring strong leadership and extensive exercise. They shed heavily and thrive in cold climates but struggle in heat. Best suited for experienced owners with space and commitment to training."
American Bulldog,"The American Bulldog is a descendant of the English Bulldog. It is believed that the bulldog was in America as early as the 17th century. They came to the United States in the 1800s, with immigrants who brought their working bulldogs with them. Small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. The breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.The breed we know as the American Bulldog was originally known by many different names before the name American Bulldog became the standard. In different parts of the South he was known as the White English Southern Bulldog, but most commonly just “bulldog.” The breed was not called a bulldog because of a certain look, but because they did real bulldog work. Breed Contact InformationKatrina HuffmasterPhone:  850-519-3089 American Bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. Historically, they were bred to be a utility dog used for working the farm.","Loyal, Self-Confident",,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,10,short,United States,4.0,3.0,3.0,2.0,3.0,giant,0,https://cdn2.thedogapi.com/images/r9CSG0CWk.jpg,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,0,1,60,70,3,140,3,4,3,3,3,5,2,1,0,0,0,0,1,4,2,0,0,3,1,"American Bulldogs are loyal, self-confident working dogs with strong protective instincts and powerful builds. They require experienced owners who can provide firm training, ample exercise, and manage their guarding tendencies. Health issues are common and can be expensive to treat."
American English Coonhound,"Standing as high as 26 inches at the shoulder, American English Coonhounds are deep-chested, sweet-faced athletes beloved by sportsmen for their speed and endurance. Stretched tightly across the athletic frame is a medium-length coat of various patterns, some with ticking. The head is broad with a domed skull, with soft, low-hung ears and dark-brown eyes that glow with warmth and kindness.American English Coonhounds are mellow when off duty but tenacious and stubborn in pursuit of their ring-tailed prey. Their work drive and energy, the patience it takes to train them for things other than coon hunting, and their loud, ringing bark can make the breed a bad fit as house pets for novice owners. Some passionate fans of American English Coonhounds feel that without a sporting outlet for this breed’s houndy virtues, you’re simply wasting a good dog. These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.","Sweet, Mellow, Sociable",175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,353,medium,United States,4.0,3.0,3.0,2.0,3.0,large,0,https://cdn4.thedogapi.com/optimized/QZZXQl1UXs.jpg,,0,2,90,65,1,115,3,3,3,4,4,3,2,1,1,0,0,0,1,4,2,0,1,1,0,"American English Coonhounds are athletic, sweet-natured hunters with excellent endurance and a strong prey drive. They require substantial daily exercise and thrive in rural settings with access to open space. They can be stubborn and vocal but are generally mellow and sociable family dogs."
American Eskimo Dog,"The American Eskimo Dog comes in three sizes—standard, miniature, and toy—standing as tall as 19 inches at the shoulder or as short as 9 inches. Distinctive traits include a dense, sparkling white coat with a lion-like ruff around the chest and shoulders; a smiling face, with black nose, lips, and eye-rims that convey a keen, intelligent expression; and a plumed tail carried over the back. Some Eskies have markings with the delicious color name “biscuit cream.” They move with a bold and agile gait.Eskies are social animals and can develop problem behaviors when neglected or undertrained—they insist on being part of family life. Among the most trainable of breeds, the clever, kid-friendly Eskie practically invented the phrase “eager to please.” The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.","Playful, Perky, Smart",122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group,12,double,United States,4.0,5.0,3.0,3.0,5.0,medium,0,https://cdn2.thedogapi.com/images/A3iocPBuU.jpg,https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg,1,3,60,50,1,120,4,4,5,2,3,3,3,1,1,1,1,1,0,2,5,1,1,1,0,"American Eskimo Dogs are playful, intelligent, and friendly companions available in three sizes with a distinctive white coat. They are highly trainable and social, making them excellent for families and first-time owners. Regular grooming and daily exercise are essential for this active breed."
American Foxhound,"American Foxhounds are sleek, rangy hunters known for their speed, endurance, and work ethic. You can tell the American Foxhound apart from their British cousin the English Foxhound by length of leg—the American’s legs are longer and more finely boned—and by the American’s slightly arched loin (back end). American Foxhounds have large, soft eyes with an expression described as gentle and pleading.So far, so good. But Foxhounds come with special considerations. They need lots of exercise or they can get depressed and destructive. A Foxhound’s single-minded prey drive must be managed. Their loud bawling is melodious to hound lovers but can be a nuisance to neighbors, and training and housebreaking these independent souls can be a steep challenge for novice owners. American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the rolling estates of old Virginia.","Independent, Easy-Going, Sweet-Tempered",186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,Hound Group,14,short,United States,4.0,3.0,3.0,2.0,4.0,large,0,https://cdn2.thedogapi.com/images/p4xvDeEpW.jpg,https://cdn2.thedogapi.com/images/S14n1x9NQ_1280.jpg,0,1,120,60,1,100,4,3,3,5,4,2,2,1,1,0,0,0,1,4,3,0,0,2,0,"American Foxhounds are athletic hunters with exceptional speed and endurance, bred for pack hunting. They are independent and require extensive daily exercise or they become destructive and difficult to manage. Best suited for owners with large property and experience with hunting breeds."
American Hairless Terrier,"The American Hairless Terrier stands between 12 to 16 inches at the shoulder, and comes in both coated and hairless varieties. The hairless variety might have eyebrows and whiskers, while the coated has a short, shiny coat. The skin of the hairless is smooth and warm to the touch. The broad, wedge-shaped head is a hallmark of both varieties. Erect, V-shaped ears frame the round, expressive eyes that gleam with curiosity.The American Hairless moves with jaunty pep in his step that announces real terrier attitude. The hairless variety is as hypoallergenic as a dog can get. Hairlessness, though, presents its own challenges. Sunburn is a concern, and cold weather requires special precautions. This breed is protective of their humans and make alert watchdogs. The American Hairless Terrier, a Louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. He is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.","Energetic, Alert, Curious",136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group,266,short,United States,,,,,,small,0,https://cdn4.thedogapi.com/optimized/ah0OKUinZL.jpg,,1,1,50,35,1,75,4,4,4,3,3,2,2,1,1,1,1,1,0,4,2,1,1,1,0,"American Hairless Terriers are energetic, alert companion dogs available in hairless and coated varieties, making them suitable for allergy sufferers. They are curious and playful with moderate exercise needs, adapting well to apartment living. Ideal for first-time owners seeking a small, friendly, low-shedding breed."
